stock_code,code,dividOperateDate,foreAdjustFactor,backAdjustFactor,adjustFactor
603993,sh.603993,2016-07-14,0.870369,3.206372,3.206372
603993,sh.603993,2017-05-03,0.876185,3.227796,3.227796
603993,sh.603993,2018-06-26,0.887490,3.269445,3.269445
603993,sh.603993,2019-06-28,0.911957,3.359580,3.359580
603993,sh.603993,2020-06-30,0.922034,3.396702,3.396702
603993,sh.603993,2021-07-06,0.927009,3.415030,3.415030
603993,sh.603993,2022-07-07,0.939488,3.461001,3.461001
603993,sh.603993,2023-07-07,0.953330,3.511992,3.511992
603993,sh.603993,2024-07-08,0.969325,3.570918,3.570918
603993,sh.603993,2025-06-27,1.000000,3.683922,3.683922
002271,sz.002271,2016-06-03,0.295857,12.710654,12.710654
002271,sz.002271,2017-06-01,0.297215,12.768996,12.768996
002271,sz.002271,2018-06-20,0.507434,21.800409,21.800409
002271,sz.002271,2019-05-30,0.515169,22.132732,22.132732
002271,sz.002271,2019-07-19,0.515169,22.132732,22.132732
002271,sz.002271,2020-06-15,0.518929,22.294282,22.294282
002271,sz.002271,2020-10-22,0.778394,33.441427,33.441427
002271,sz.002271,2021-05-31,0.782494,33.617581,33.617581
002271,sz.002271,2022-05-31,0.787728,33.842448,33.842448
002271,sz.002271,2023-05-19,0.790691,33.969734,33.969734
002271,sz.002271,2024-05-22,0.818185,35.150929,35.150929
002271,sz.002271,2024-09-26,0.865570,37.186693,37.186693
002271,sz.002271,2025-04-01,0.928125,39.874189,39.874189
002271,sz.002271,2025-08-27,1.000000,42.962081,42.962081
600754,sh.600754,2016-05-06,0.881668,2.169445,2.169445
600754,sh.600754,2017-06-06,0.897914,2.209419,2.209419
600754,sh.600754,2018-06-19,0.911482,2.242805,2.242805
600754,sh.600754,2019-06-11,0.935229,2.301237,2.301237
600754,sh.600754,2020-06-12,0.954652,2.349030,2.349030
600754,sh.600754,2021-06-18,0.955611,2.351391,2.351391
600754,sh.600754,2022-07-08,0.956405,2.353344,2.353344
600754,sh.600754,2023-06-21,0.957626,2.356349,2.356349
600754,sh.600754,2024-07-12,0.978794,2.408435,1.000000
600754,sh.600754,2024-07-15,0.978794,2.408435,2.408435
600754,sh.600754,2024-09-27,0.983178,2.419223,2.419223
600754,sh.600754,2025-08-01,1.000000,2.460614,1.017109
601328,sh.601328,2016-07-13,0.587293,1.597990,1.597990
601328,sh.601328,2017-07-07,0.614078,1.670871,1.670871
601328,sh.601328,2018-07-16,0.645211,1.755583,1.755583
601328,sh.601328,2019-07-09,0.678470,1.846077,1.846077
601328,sh.601328,2020-07-14,0.719469,1.957634,1.957634
601328,sh.601328,2021-07-13,0.770631,2.096843,2.096843
601328,sh.601328,2022-07-12,0.828761,2.255010,2.255010
601328,sh.601328,2023-07-12,0.885232,2.408666,2.408666
601328,sh.601328,2024-07-10,0.929674,2.529590,2.529590
601328,sh.601328,2025-01-24,0.952851,2.592655,2.592655
601328,sh.601328,2025-04-18,0.978261,2.661792,2.661792
601328,sh.601328,2025-12-25,1.000000,2.720943,2.720943
601816,sh.601816,2020-01-16,0.926599,1.000000,1.000000
601816,sh.601816,2020-08-19,0.933942,1.007924,1.007924
601816,sh.601816,2021-07-30,0.939695,1.014133,1.014133
601816,sh.601816,2022-07-29,0.949670,1.024899,1.024899
601816,sh.601816,2023-07-28,0.951391,1.026755,1.026755
601816,sh.601816,2024-06-28,0.971401,1.048351,1.048351
601816,sh.601816,2025-07-15,0.992366,1.070977,1.070977
601816,sh.601816,2025-10-27,1.000000,1.079215,1.079215
300760,sz.300760,2018-10-16,0.898412,1.000000,1.000000
300760,sz.300760,2019-05-29,0.904536,1.006816,1.006816
300760,sz.300760,2020-05-15,0.909631,1.012487,1.012487
300760,sz.300760,2021-05-28,0.914248,1.017627,1.017627
300760,sz.300760,2022-05-19,0.924967,1.029558,1.029558
300760,sz.300760,2023-05-29,0.938272,1.044366,1.044366
300760,sz.300760,2023-11-22,0.952533,1.060241,1.060241
300760,sz.300760,2024-05-28,0.957301,1.065547,1.065547
300760,sz.300760,2024-09-09,0.973628,1.083721,1.083721
300760,sz.300760,2024-11-07,0.979514,1.090272,1.090272
300760,sz.300760,2025-05-29,0.987957,1.099670,1.099670
300760,sz.300760,2025-09-05,0.993531,1.105875,1.105875
300760,sz.300760,2025-11-12,1.000000,1.113075,1.113075
002352,sz.002352,2016-05-26,0.905851,3.414091,3.414091
002352,sz.002352,2017-04-17,0.907586,3.420630,3.420630
002352,sz.002352,2018-04-16,0.911665,3.436004,3.436004
002352,sz.002352,2019-04-18,0.917126,3.456585,3.456585
002352,sz.002352,2020-04-24,0.922205,3.475725,3.475725
002352,sz.002352,2021-04-20,0.926930,3.493535,3.493535
002352,sz.002352,2022-06-15,0.930221,3.505939,3.505939
002352,sz.002352,2023-05-12,0.934852,3.523391,3.523391
002352,sz.002352,2024-05-14,0.949877,3.580019,3.580019
002352,sz.002352,2024-11-07,0.979708,3.692451,3.692451
002352,sz.002352,2025-07-17,0.988958,3.727315,3.727315
002352,sz.002352,2025-09-16,1.000000,3.768931,3.768931
300750,sz.300750,2018-06-11,0.520937,1.000000,1.000000
300750,sz.300750,2019-07-22,0.521944,1.001935,1.001935
300750,sz.300750,2020-06-04,0.522719,1.003421,1.003421
300750,sz.300750,2021-07-05,0.522960,1.003885,1.003885
300750,sz.300750,2022-09-28,0.523753,1.005407,1.005407
300750,sz.300750,2023-04-26,0.948947,1.821618,1.821618
300750,sz.300750,2024-04-30,0.972182,1.866219,1.866219
300750,sz.300750,2025-01-24,0.976848,1.875176,1.875176
300750,sz.300750,2025-04-22,0.996400,1.912710,1.912710
300750,sz.300750,2025-08-20,1.000000,1.919620,1.919620
